ano;mes;tempmaxabs;tempminabs;tempmaxmensal;tempmenmensal;tempmeda;ETP;precipitacao;DCCH
1998;agosto ;33,2;9,7;28,4;16,4;22,4;81;43,6;7
1998;setembro ;35,3;13,5;30,4;18,4;24,4;106;15,7;6
1998;outubro ;35,4;15;29,1;18,6;23,9;121;174,6;13
1998;novembro ;33,7;15,5;29,9;18,4;24,2;127;207,6;9
1998;dezembro ;33,1;16,3;29,5;19,9;24,7;144;397,8;22
1999;janeiro ;35,1;19;30;20,7;25,3;147;399,3;21
1999;fevereiro ;35,2;18,3;30,6;19,8;25,2;126;314,2;16
1999;março ;32,8;16,1;30;19,6;24,8;124;122,6;13
1999;abril ;31,8;5,8;28,8;16,5;22,6;85;93,6;7
1999;maio ;29,6;7,2;26;13,6;19,8;65;18,8;3
1999;junho ;29,4;9,6;26,1;13,7;19,9;57;23,9;4
1999;julho ;30,1;11,7;27,9;15,3;21,6;67;0,5;1
1999;agosto ;33,7;6,5;29,1;14,5;21,8;78;0;0
1999;setembro ;36,5;10,2;30,5;16,7;23,6;103;89,9;8
1999;outubro ;36;12,5;30,6;17,5;24;122;44,6;6
1999;novembro ;34,1;14,3;29,8;17,4;23,6;124;75,7;11
1999;dezembro ;34,7;17,1;30,2;19,6;24,9;146;231,1;15
2000;janeiro ;33,4;17,4;29,5;19,8;24,6;143;353,6;17
2000;fevereiro ;32,4;15,3;29,4;20,2;24,8;128;326,2;17
2000;março ;32;16,3;29,2;19,6;24,4;117;180,3;20
2000;abril ;31,6;11;29,5;16,5;23;86;0,2;1
2000;maio ;32,4;6,9;27,4;14,1;20,8;68;0,9;1
2000;junho ;31,7;6,1;27,9;13,8;20,9;60;0,2;1
2000;julho ;31,5;1;25,9;11,2;18,5;57;39,2;4
2000;agosto ;34,4;7,9;29;14,5;21,8;78;49,3;5
2000;setembro ;33,4;11,4;28,5;16,2;22,3;93;76,3;10
2000;outubro ;37,7;16;33;19,2;26,1;145;39,7;7
2000;novembro ;33;15,5;30,1;18,4;24,3;128;190,7;17
2000;dezembro ;32,4;15;29,8;19;24,4;136;209,8;16
2001;janeiro ;33,4;17,3;30,8;19;24,9;144;85,7;16
2001;fevereiro ;34,9;17,9;31,5;19,9;25,7;134;129,5;15
2001;março ;33,6;17,9;30,7;19,6;25,2;126;154,1;17
2001;abril ;32,4;12,6;29,8;18;23,9;94;72,3;7
2001;maio ;32;7,3;26,1;14,8;20,5;67;128,1;10
2001;junho ;29,7;5,8;25,5;13,6;19,6;56;0,8;2
2001;julho ;31,1;7,7;27,5;14,2;20,9;64;3;2
2001;agosto ;31,2;11,9;28,2;15,2;21,7;78;33,1;4
2001;setembro ;35;7;28,9;16,9;22,9;95;51,7;5
2001;outubro ;34,7;15,8;29,2;18,2;23,7;121;140,6;10
2001;novembro ;33,8;17,5;29,7;19,7;24,7;137;270,8;15
2001;dezembro ;31,9;12,3;28,8;19,4;24,1;135;233,3;17
2002;janeiro ;33;14,6;29,4;19,7;24,5;142;279,1;17
2002;fevereiro ;31,2;14;28,2;19,2;23,7;113;411,5;16
2002;março ;33,1;18,5;31;19,7;25,4;127;202,2;15
2002;abril ;32,4;16,9;31,3;18,8;25,1;103;13,2;1
2002;maio ;31,3;11;27,4;16;21,7;71;48,8;6
2002;junho ;30;11,6;28;14,9;21,5;61;0;0
2002;julho ;31,1;4,7;26,8;12,5;19,6;60;0,9;2
2002;agosto ;33,3;13,8;29,7;16,4;23,1;83;24,5;4
2002;setembro ;33,5;5,4;27,5;15,6;21,5;89;98,5;8
2002;outubro ;37,4;17;34,4;20,5;27,5;160;82,9;7
2002;novembro ;33,7;13,9;30,1;19,6;24,8;137;157,5;15
2002;dezembro ;35,5;19;30,7;20,4;25,5;156;229,7;18
2003;janeiro ;32,2;19,5;28,5;20,9;24,7;143;561,2;23
2003;fevereiro ;34,2;19,4;31,3;20,2;25,8;134;199;15
2003;março ;33,6;16;29,7;19,5;24,6;123;181,7;15
2003;abril ;32,3;12,3;29;17,8;23,4;88;102,1;8
2003;maio ;31,2;7,2;25,9;13,9;19,9;65;82,9;4
2003;junho ;29,3;10,5;27,7;14,7;21,2;60;1,3;1
2003;julho ;30,1;10,3;26,9;13,7;20,3;62;23,8;4
2003;agosto ;32,6;6,8;27,2;13,6;20,4;74;8,8;3
2003;setembro ;37,8;9,9;30,6;16,6;23,6;103;21,1;4
2003;outubro ;36,1;11,9;31,2;17,6;24,4;124;59,2;11
2003;novembro ;35,4;11,8;29,7;18;23,9;126;162,6;14
2003;dezembro ;34,4;17,1;30,3;19,6;24,9;146;186,4;13
2004;janeiro ;31,7;17;29,2;19,4;24,3;135;349,9;21
2004;fevereiro ;32,3;16,3;28,9;19,3;24,1;119;412;18
2004;março ;32,6;13,5;29,7;18,2;23,9;114;83,9;8
2004;abril ;31,5;11,8;29,4;18,1;23,7;93;175,4;10
2004;maio ;31,2;7,6;24,8;14;19,4;63;104,7;11
2004;junho ;27,6;7,6;24,8;13,6;19,2;55;48,5;5
2004;julho ;28,5;7,7;24,8;13;18,9;58;35,3;4
2004;agosto ;33,3;7,8;28,6;13,7;21,2;76;0;0
2004;setembro ;36,9;15,5;33,2;18,3;25,8;123;5,3;3
2004;outubro ;35,8;10,6;28,4;17,3;22,9;111;113,6;13
2004;novembro ;33,5;14;29,7;18,7;24,2;128;116,7;13
2004;dezembro ;32,8;14,4;29,6;18,9;24,2;135;406,9;18
2005;janeiro ;32,3;18,1;28,8;20,3;24,5;142;417,3;22
2005;fevereiro ;35,3;15,9;30,9;18,4;24,7;123;50,2;7
2005;março ;33,8;16,2;30,3;19,5;24,9;125;136,1;12
2005;abril ;32,7;14;30,3;18,6;24,4;96;30,4;3
2005;maio ;31,8;11,1;27,5;15,4;21,4;70;112;7
2005;junho ;28,7;11,2;26,4;14,9;20,6;59;39,9;3
2005;julho ;30,4;9,3;25,2;12,6;18,9;58;51,9;4
2005;agosto ;34,1;6,6;30,3;13,8;22,1;79;0;0
2005;setembro ;33,3;10,9;29,7;15,9;22,8;95;103,5;12
2005;outubro ;37,5;16,2;33;19;26;145;59,6;9
2005;novembro ;34,9;14,6;31,7;17,8;24,7;137;253,5;14
2005;dezembro ;35,1;16;30,3;18;24,1;135;150,3;19
2006;janeiro ;36,9;17,3;31,5;19,2;25,3;147;205,2;13
2006;fevereiro ;35,4;16,9;31,5;18,8;25,1;125;274,1;18
2006;março ;36,1;16,8;31,7;19;25,4;127;154;16
2006;abril ;35,2;11,4;30;16,3;23,1;87;14,2;3
2006;maio ;30,8;5,3;26,8;12,3;19,6;64;2;2
2006;junho ;29,6;7,2;26,9;12,9;19,9;57;9,8;2
2006;julho ;33,4;9,4;29,6;12;20,8;64;4,6;1
2006;agosto ;36,5;5,8;32,1;13,3;22,7;82;0;0
2006;setembro ;36;4,9;30,5;15;22,8;94;44,2;6
2006;outubro ;36;13,1;30,7;17,2;24;122;230,6;12
2006;novembro ;36,1;10,5;31,2;17,6;24,4;129;215,5;14
2006;dezembro ;34,7;16,8;31;19,1;25,1;147;289,1;18
2007;janeiro ;34,1;18;29,7;19,3;24,5;142;469,9;26
2007;fevereiro ;34,7;16,4;31,8;19,7;25,8;134;87,2;13
2007;março ;33,9;15,5;31,5;19,4;25,5;128;117,7;11
2007;abril ;34,2;15,5;30,8;18,5;24,7;102;15,2;7
2007;maio ;31,3;7;26,8;13,6;20,2;66;98,6;6
2007;junho ;30,6;5,8;27,1;13,6;20,3;58;1,7;1
2007;julho ;30,9;7,1;26,3;12,6;19,5;60;65,7;6
2007;agosto ;33,3;11,5;29,4;14,3;21,9;79;0;0
2007;setembro ;36,6;14,8;32,1;17,7;24,9;113;3;3
2007;outubro ;37,8;16,6;32,9;19,4;26,1;146;49,4;9
2007;novembro ;34,5;13,7;29,4;18,4;23,9;126;125,4;15
2007;dezembro ;35,7;16,6;30,9;19,4;25,2;147;179,6;17
2008;janeiro ;33,1;16,6;28,6;19,4;24;133;364,6;22
2008;fevereiro ;32,6;16,8;29,8;19,1;24,5;121;197,2;19
2008;março ;31,6;16,3;28,9;18,5;23,7;113;201,9;15
2008;abril ;32,1;12,9;28,3;17,2;22,8;85;119,2;15
