Nome;AnoNascimento;Instrumentos;Pais;Afiliacoes
Ian Haugland;1964;Bateria, percussão, vocal de apoio;Noruega;Europe, Glenn Hughes, Brazen Abbot, Last Autumn's Dream 
Tony Reno;1963;Bateria;Suécia;Europe, Geisha, =Y= 
Joey Tempest;1963;Vocal, guitarra, teclados, baixo, piano, violino;Suécia;Europe
Kee Marcello;1960;Guitarra, vocal, teclados;Suécia;Easy Action, Mikael Rickfors, Europe, Kee Marcello's K2
Kurt Cobain;1967;Vocal, guitarra, violão, bateria;EUA;Nirvana, Fecal Matter
Krist Novoselic;1965;Vocal, baixo, acordeão;EUA;Nirvana, Eyes Adrift, Mark Lanegan Band, Sweet 75, Flipper, No WTO Combo
Dave Grohl;1969;Bateria, vocal, guitarra, baixo, talk box, violão;EUA;Scream, Nirvana, Foo Fighters, Tenacious D, Killing Joke, Queens of the Stone Age, Them Crooked Vultures, Slash, Corey Taylor, Ghost, Teenage Time Killer, Max Cavalera
Chad Channing;1967;Bateria, vocal, baixo;EUA;Nirvana, Before Cars
Dale Crover;1967;Bateria, percussão, vocal, guitarra, baixo;EUA;Melvins, Altamont, Men of Porn, Redd Kross
Aaron Burckhard;1963;Bateria;EUA;Nirvana, Attica, Screaming Sons of, Under Sin
Jason Everman;1967;Guitarra, baixo;EUA;Nirvana, Soundgarden, OLD, Mind Funk, Stonecrow
Pat Smear;1959;Guitarra, vocal;EUA;Foo Fighters, Germs, Nirvana
Buzz Osborne;1964;Vocal, guitarra, guitarra acustica, contrabaixo, bateria;EUA;The Melvins, Fantômas, Venomous Concept, Fecal Matter, Zu
Jimi Hendrix;1942;Guitarra, vocal, baixo, teclado, percussão;EUA;The Jimi Hendrix Experience
Mitch Mitchell;1946;Bateria;EUA;Georgie Fame and The Blue Flames, The Jimi Hendrix Experience, Ramatam, The Riot Squad
Noel Redding;1945;Baixo, guitarra, vocal;Reino Unido;The Jimi Hendrix Experience, Fat Mattress Road, The Noel Redding Band, Mountain
Billy Cox;1941;Baixo, vocal;EUA;The Jimi Hendrix Experience
Top Topham;1947;Guitarra;Reino Unido;The Yardbirds
Jeff Beck;1944;Guitarra, talk box, vocal;Reino Unido;The Yardbirds, The Jeff Beck Group, Joss Stone, The Honeydrippers, Beck, Bogert & Appice
Terry Bozzio;1950;Bateria, percussão;EUA;Frank Zappa, UK, Missing Persons, Fantômas
Frank Zappa;1940;Guitarra, bateria, percussão, vocal;EUA;The Mothers of Invention
Keith Moon;1946;Bateria, vocais;Reino Unido;The Who
Eloy Casagrande;1991;Bateria, percussão;Brasil;Sepultura, Slipknot
Jairo Guedez;1968;Guitarra, baixo;Brasil;Sepultura, Guerrilha, Overdose, The Mist, Eminence
Max Cavalera;1969;Vocais, guitarra, baixo, berimbau, percussão, sitar, sampler, talkbox, agogô;Brasil;Sepultura, Nailbomb, Soulfly, Cavalera Conspiracy, Killer Be Killed, Roadrunner United
Igor Cavalera;1970;Bateria, percussão;Brasil;Sepultura, Cavalera Conspiracy, Massacration, Nailbomb, Mixhell, Biohazard, Strife, Soulwax
Jean Dolabella;1978;Bateria, percussão, guitarra;Brasil;Sepultura, Diesel/Udora, Indireto, RockFellas, Ego Kill Talent, Pitty
Wagner Lamounier;1969;Vocais, guitarra;Brasil;Komando Kaos, Sarcófago, Sepultura, Cirrhosis
Andreas Kisser;1968;Guitarra;Brasil;Sepultura, Anthrax, Hail!, Asesino, Slayer, Motörhead, Ronnie James Dio, De La Tierra, Kisser Clan 
Derrick Green;1971;Vocais, percussão, guitarra;EUA;Sepultura, Integrity, Outface, Musica Diablo, Korn
Paulo Jr;1969;Baixo, percussão;Brasil;Sepultura, The Unabomber Files
Greyson Nekrutman;2002;Bateria;EUA;Sepultura
Kiko Loureiro;1972;Guitarra, violão, piano;Brasil;Megadeth, Angra, Tarja Turunen, Neural Code, Dominó
Dave Mustaine;1961;Vocais, guitarra;EUA;Megadeth, Metallica, MD.45, Red Lamb, Body Count
Teemu Mäntysaari;1987;Guitarra;Finlândia;Megadeth, Wintersun, Imperanon
Dirk Verbeuren;1975;Bateria, percussão;Bélgica;Megadeth, Soilwork, Scarve, Aborted, Devin Townsend, Bent Sea
James LoMenzo;1959;Baixo;EUA;White Lion, Megadeth, Black Label Society, Ozzy Osbourne, David Lee Roth, Lynch Mob, Pride & Glory, Slash's Snakepit
Chris Adler;1972;Bateria, percussão;EUA;Lamb of God, Megadeth, Jettison Charlie, Blotted Science, Testament, Protest the Hero, Nitro
John Frusciante;1970;Guitarra, baixo, sintetizador, piano, vocal;EUA;Red Hot Chili Peppers, Ataxia, The Mars Volta, Omar Rodríguez-López, Venetian Snares, Swahili Blonde, Warpaint, Kimono Kult
Chad Smith;1961;Bateria, percussão;EUA;Red Hot Chili Peppers, Chickenfoot, Prestige Worldwide, Blue Öyster Cult, Chad Smith's Bombastic Meatbats, Glenn Hughes, HSAS, The Process, Residente, Tom Morello, Dick Van Dyke, Joe Satriani
Flea;1962;Baixo, trompete, piano, violoncelo, backing vocals;Austrália;Red Hot Chili Peppers, Atoms for Peace, Fear, Jane's Addiction, What Is This, Dead Kennedys, The Mars Volta, Slash
Anthony Kiedis;1962;Vocais, guitarra;EUA;Red Hot Chili Peppers
Hillel Slovak;1962;Guitarra;Israel;Red Hot Chili Peppers, What Is This
Jack Irons;1962;Bateria, percussão;EUA;Red Hot Chili Peppers, Pearl Jam, What Is This
Cliff Martinez;1954;Bateria, percussão;EUA;Red Hot Chili Peppers, The Dickies, Captain Beefheart, Lydia Lunch, The Weirdos 
Jack Sherman;1956;Guitarra, vocais;EUA;Red Hot Chili Peppers
DeWayne McKnight;1954;Guitarra;EUA;Red Hot Chili Peppers
D.H. Peligro;1959;Bateria;EUA;Dead Kennedys, Red Hot Chili Peppers, The Feederz, Nailbomb, Lock Up
Jesse Tobias;1972;Guitarra;EUA;Red Hot Chili Peppers, Alanis Morissette, Splendid, Morrissey
Dave Navarro;1967;Guitarra;EUA;Jane's Addiction, Red Hot Chili Peppers, The Panic Channel
Josh Klinghoffer;1979;Guitarra, bateria, sintetizador, baixo, teclados, piano, vocal, trompete, violoncelo;EUA;Red Hot Chili Peppers, Dot Hacker, John Frusciante, Ataxia, Beck, The Bicycle Thief, Gnarls Barkley, Warpaint
Sammy Hagar;1947;Vocais, guitarra;EUA;Van Halen, Montrose, HSAS, The Waboritas, The Other Half, Los Tres Gusanos, Planet Us, Chickenfoot, The Circle
David Lee Roth;1954;Vocais;EUA;Van Halen, The David Lee Roth Band
Alex Van Halen;1953;Bateria;Países Baixos;Van Halen
Ronnie Montrose;1947;Guitarra, mandolin, baixo elétrico;EUA;Montrose
Jeff Beck;1944;Guitarra, talk box, vocais;Reino Unido;The Yardbirds, The Jeff Beck Group, Joss Stone, The Honeydrippers, Beck, Bogert & Appice, Big Town Playboys, Upp, Roger Waters
Nile Rodgers;1952;Guitarra;EUA;Chic, Sister Sledge, Sugarhill Gang, Lady Gaga, The Honeydrippers, Diana Ross, David Bowie, Madonna,Thompson Twins, Duran Duran, INXS
Brian Setzer;1959;Guitarra, vocal;EUA;The Brian Setzer Orchestra, Stray Cats
Slim Jim Phantom;1961;Bateria;EUA;Stray Cats, Phantom, Rocker & Slick, Dead Men Walking, The Head Cat, Kat Men 
Jerry Lee Lewis;1935;Vocal, piano, guitarra e violino;EUA;Elvis Presley, Johnny Cash, Roy Orbison, Carl Perkins, Bruce Springsteen, Mickey Gilley, Linda Gail Lewis
Trent Reznor;1965;Vocal, piano, sintetizador, guitarra, baixo, saxofone, tuba;EUA;Option 30, The Innocent, Exotic Birds, Lucky Pierre, Nine Inch Nails, Tapeworm, Revolting Cocks
Alex Lifeson;1953;Guitarra;Canada;Rush, Envy of None
Geddy Lee;1953;Vocais, baixo, teclados, sintetizador;Canada;Rush
John Rutsey;1952;Bateria;Canada;Rush
Jeff Jones;1953;Baixo;EUA;Rush, Ocean Stingaree, Infidels, Red Rider, The Carpet Frogs, Tom Cochrane Band
Neil Peart;1952;Bateria, percussão;Canada;Rush
Paul McCartney;1942;Vocal, baixo, guitarra, teclados, bateria;Reino Unido;Paul McCartney Band,The Fireman, The Quarrymen, The Beatles, Wings, Sound City Players
